"Geo Code","Geo Name","Line Number"
"2021S0503932","Abbotsford - Mission",2
"2021S05079320001.00","9320001.00",2633
"2021S05079320002.00","9320002.00",5264
"2021S05079320003.00","9320003.00",7895
"2021S05079320004.00","9320004.00",10526
"2021S05079320005.01","9320005.01",13157
"2021S05079320005.02","9320005.02",15788
"2021S05079320006.00","9320006.00",18419
"2021S05079320007.01","9320007.01",21050
"2021S05079320007.02","9320007.02",23681
"2021S05079320008.03","9320008.03",26312
"2021S05079320008.04","9320008.04",28943
"2021S05079320008.05","9320008.05",31574
"2021S05079320008.06","9320008.06",34205
"2021S05079320009.01","9320009.01",36836
"2021S05079320009.02","9320009.02",39467
"2021S05079320010.00","9320010.00",42098
"2021S05079320011.00","9320011.00",44729
"2021S05079320012.01","9320012.01",47360
"2021S05079320012.02","9320012.02",49991
"2021S05079320013.01","9320013.01",52622
"2021S05079320013.02","9320013.02",55253
"2021S05079320014.01","9320014.01",57884
"2021S05079320014.02","9320014.02",60515
"2021S05079320100.00","9320100.00",63146
"2021S05079320101.00","9320101.00",65777
"2021S05079320102.00","9320102.00",68408
"2021S05079320103.00","9320103.00",71039
"2021S05079320104.00","9320104.00",73670
"2021S05079320105.00","9320105.00",76301
"2021S05079320106.03","9320106.03",78932
"2021S05079320106.04","9320106.04",81563
"2021S05079320106.05","9320106.05",84194
"2021S05079320106.06","9320106.06",86825
"2021S05079320200.00","9320200.00",89456
"2021S05079320201.01","9320201.01",92087
"2021S05079320201.02","9320201.02",94718
"2021S05079320202.00","9320202.00",97349
"2021S05079320203.00","9320203.00",99980
"2021S05079320204.00","9320204.00",102611
"2021S05079320205.00","9320205.00",105242
"2021S05079320206.01","9320206.01",107873
"2021S05079320206.02","9320206.02",110504
"2021S05079320207.00","9320207.00",113135
"2021S0503568","Barrie",115766
"2021S05075680001.01","5680001.01",118397
"2021S05075680001.02","5680001.02",121028
"2021S05075680001.04","5680001.04",123659
"2021S05075680001.05","5680001.05",126290
"2021S05075680001.06","5680001.06",128921
"2021S05075680001.07","5680001.07",131552
"2021S05075680002.00","5680002.00",134183
"2021S05075680003.00","5680003.00",136814
"2021S05075680004.01","5680004.01",139445
"2021S05075680004.03","5680004.03",142076
"2021S05075680004.04","5680004.04",144707
"2021S05075680004.05","5680004.05",147338
"2021S05075680004.06","5680004.06",149969
"2021S05075680004.07","5680004.07",152600
"2021S05075680005.00","5680005.00",155231
"2021S05075680006.00","5680006.00",157862
"2021S05075680007.00","5680007.00",160493
"2021S05075680008.00","5680008.00",163124
"2021S05075680009.00","5680009.00",165755
"2021S05075680010.00","5680010.00",168386
"2021S05075680011.01","5680011.01",171017
"2021S05075680011.02","5680011.02",173648
"2021S05075680012.01","5680012.01",176279
"2021S05075680012.02","5680012.02",178910
"2021S05075680013.00","5680013.00",181541
"2021S05075680014.00","5680014.00",184172
"2021S05075680015.01","5680015.01",186803
"2021S05075680015.02","5680015.02",189434
"2021S05075680015.03","5680015.03",192065
"2021S05075680016.00","5680016.00",194696
"2021S05075680100.00","5680100.00",197327
"2021S05075680101.00","5680101.00",199958
"2021S05075680102.01","5680102.01",202589
"2021S05075680102.02","5680102.02",205220
"2021S05075680102.03","5680102.03",207851
"2021S05075680102.04","5680102.04",210482
"2021S05075680103.03","5680103.03",213113
"2021S05075680103.04","5680103.04",215744
"2021S05075680103.05","5680103.05",218375
"2021S05075680103.06","5680103.06",221006
"2021S05075680103.07","5680103.07",223637
"2021S05075680103.08","5680103.08",226268
"2021S05075680104.00","5680104.00",228899
"2021S05075680200.00","5680200.00",231530
"2021S05075680201.00","5680201.00",234161
"2021S05075680202.01","5680202.01",236792
"2021S05075680202.02","5680202.02",239423
"2021S0503522","Belleville - Quinte West",242054
"2021S05075220001.00","5220001.00",244685
"2021S05075220002.00","5220002.00",247316
"2021S05075220003.00","5220003.00",249947
"2021S05075220004.00","5220004.00",252578
"2021S05075220005.00","5220005.00",255209
"2021S05075220006.00","5220006.00",257840
"2021S05075220007.00","5220007.00",260471
"2021S05075220008.00","5220008.00",263102
"2021S05075220009.00","5220009.00",265733
"2021S05075220010.00","5220010.00",268364
"2021S05075220011.00","5220011.00",270995
"2021S05075220012.00","5220012.00",273626
"2021S05075220013.00","5220013.00",276257
"2021S05075220014.00","5220014.00",278888
"2021S05075220015.00","5220015.00",281519
"2021S05075220200.00","5220200.00",284150
"2021S05075220201.00","5220201.00",286781
"2021S05075220202.00","5220202.00",289412
"2021S05075220300.00","5220300.00",292043
"2021S05075220301.00","5220301.00",294674
"2021S05075220302.00","5220302.00",297305
"2021S05075220303.00","5220303.00",299936
"2021S05075220304.00","5220304.00",302567
"2021S05075220400.00","5220400.00",305198
"2021S05075220401.00","5220401.00",307829
"2021S05075220402.00","5220402.00",310460
"2021S05075220403.00","5220403.00",313091
"2021S05075220404.00","5220404.00",315722
"2021S05075220405.00","5220405.00",318353
"2021S05075220406.00","5220406.00",320984
"2021S05075220407.00","5220407.00",323615
"2021S05075220500.00","5220500.00",326246
"2021S05075220501.00","5220501.00",328877
"2021S05075220600.00","5220600.00",331508
"2021S05075220700.00","5220700.00",334139
"2021S0503543","Brantford",336770
"2021S05075430001.00","5430001.00",339401
"2021S05075430002.01","5430002.01",342032
"2021S05075430002.02","5430002.02",344663
"2021S05075430002.04","5430002.04",347294
"2021S05075430002.05","5430002.05",349925
"2021S05075430002.06","5430002.06",352556
"2021S05075430003.00","5430003.00",355187
"2021S05075430004.00","5430004.00",357818
"2021S05075430005.00","5430005.00",360449
"2021S05075430006.00","5430006.00",363080
"2021S05075430007.00","5430007.00",365711
"2021S05075430008.00","5430008.00",368342
"2021S05075430009.00","5430009.00",370973
"2021S05075430010.00","5430010.00",373604
"2021S05075430011.01","5430011.01",376235
"2021S05075430011.02","5430011.02",378866
"2021S05075430011.03","5430011.03",381497
"2021S05075430012.00","5430012.00",384128
"2021S05075430013.00","5430013.00",386759
"2021S05075430014.01","5430014.01",389390
"2021S05075430014.02","5430014.02",392021
"2021S05075430014.03","5430014.03",394652
"2021S05075430014.04","5430014.04",397283
"2021S05075430100.00","5430100.00",399914
"2021S05075430101.00","5430101.00",402545
